id,charId,絶技,難度,必要段階,スキルポイント,属性条件
atobe_skill_4,atobe,氷の世界,奥義,5,88,戦略≥100;球感≥100;精神≥100;進化≥100
atobe_skill_5,atobe,失意への遁走曲,奥義,5,86,戦略≥100;精神≥100;スピン≥100;ストローク≥98
atobe_skill_6,atobe,跡部王国,神域,5,112,戦略≥100;精神≥98;球感≥94;進化≥96;スピン≥98
atobe_skill_7,atobe,氷の皇帝,神域,5,120,精神≥98;戦略≥100;安定≥96;進化≥96;スピン≥98
akutsu_skill_1,akutsu,ケンカ,中級,2,30,パワー≥57;スピード≥50;精神≥23;ストローク≥37
akutsu_skill_2,akutsu,光る打球,奥義,5,95,パワー≥100;ストローク≥100;球感≥100;精神≥96;スピン≥84
akutsu_skill_3,akutsu,無沒識,神域,5,105,精神≥98;進化≥100;球感≥100;敏捷≥100;安定≥88
echizen_skill_1,echizen,ツイストサーブ,中級,2,30,サーブ≥41;スピン≥41;球感≥43;パワー≥35
echizen_skill_2,echizen,ドライブA,上級,3,42,ストローク≥69;スピード≥65;パワー≥61;球感≥73
echizen_skill_3,echizen,ドライブB,上級,3,46,ストローク≥69;敏捷≥69;球感≥73;スピン≥73
echizen_skill_4,echizen,ドライブC,上級,4,56,ストローク≥87;スピン≥89;戦略≥75;安定≥75
echizen_skill_5,echizen,ドライブD,上級,4,60,ストローク≥87;パワー≥79;球感≥91;スピン≥89
echizen_skill_6,echizen,COOLドライブ,超級,5,82,ストローク≥100;球感≥100;進化≥100;スピン≥100;精神≥100
echizen_skill_7,echizen,無我の境地,超級,4,72,進化≥97;精神≥87;球感≥93;スタミナ≥81
echizen_skill_8,echizen,天衣無縫の極み,神域,5,135,進化≥100;精神≥98;球感≥98;スピード≥96;ストローク≥98
echizen_skill_9,echizen,サムライドライブ,奥義,5,90,ストローク≥100;パワー≥96;進化≥100;球感≥100;スピン≥100
echizen_skill_10,echizen,光る打球,奥義,5,92,パワー≥96;ストローク≥100;球感≥100;精神≥100
shishido_skill_1,shishido,超高速ライジングカウンター,上級,4,62,スピード≥75;パワー≥71;ストローク≥73;球感≥71;スピン≥69
shishido_skill_2,shishido,オーストラリアンフォーメーション封じ,上級,4,58,戦略≥61;協調≥81;スピード≥75;ボレー≥79;球感≥71
ohtori_skill_1,ohtori,スカッドサーブ,上級,3,48,サーブ≥65;パワー≥55;安定≥29;精神≥49
ohtori_skill_2,ohtori,ネオスカッドサーブ,超級,5,72,サーブ≥100;パワー≥93;安定≥85;スピン≥85;精神≥93
shiraishi_skill_1,shiraishi,円卓ショット,超級,4,70,ストローク≥89;スピン≥89;安定≥87;球感≥85;戦略≥81
shiraishi_skill_2,shiraishi,星の聖書,神域,5,120,安定≥100;戦略≥96;球感≥98;ストローク≥98;進化≥94
kenya_skill_1,kenya,スピードテニス,上級,3,52,スピード≥77;スタミナ≥53;敏捷≥63;安定≥43;ストローク≥55
yukimura_skill_1,yukimura,無我の境地,超級,4,75,進化≥93;精神≥97;球感≥93;スタミナ≥67
yukimura_skill_2,yukimura,イップス,奥義,5,95,精神≥100;戦略≥100;球感≥100;スピン≥100;安定≥100
yukimura_skill_3,yukimura,能力共鳴,神域,5,110,精神≥100;協調≥93;進化≥97;球感≥99
yukimura_skill_4,yukimura,第六感,奥義,5,90,球感≥100;戦略≥100;精神≥100;進化≥100
yukimura_skill_5,yukimura,蜃気楼の鏡,神域,5,115,球感≥99;戦略≥99;スピン≥98;精神≥100
yukimura_skill_6,yukimura,零感のテニス,神域,5,125,精神≥100;戦略≥99;球感≥99;安定≥99;進化≥97
fuji_skill_1,fuji,つばめ返し,上級,3,48,スライス≥69;スピン≥71;球感≥75;安定≥59
fuji_skill_2,fuji,熊落とし,上級,3,50,敏捷≥61;球感≥75;ボレー≥47;戦略≥65
fuji_skill_3,fuji,蜉蝣包み,上級,4,60,球感≥93;スピン≥91;戦略≥85;安定≥81
fuji_skill_4,fuji,鳳凰返し,超級,5,78,スライス≥100;スピン≥100;球感≥100;戦略≥100
fuji_skill_5,fuji,麒麟落とし,超級,5,78,敏捷≥97;球感≥100;スピン≥100;戦略≥100
fuji_skill_6,fuji,白龍,超級,4,66,スライス≥91;スピン≥93;球感≥95;精神≥83
fuji_skill_7,fuji,百腕巨人の門番,超級,5,84,スピン≥100;安定≥99;戦略≥100;球感≥100
fuji_skill_8,fuji,星花火,奥義,5,85,スピン≥100;球感≥100;スライス≥100;戦略≥100
fuji_skill_9,fuji,心の瞳,奥義,5,86,精神≥100;球感≥100;戦略≥100;進化≥100
fuji_skill_10,fuji,葵吹雪,奥義,5,96,スピン≥98;球感≥100;精神≥96;スライス≥98
fuji_skill_11,fuji,光風,神域,5,105,スピード≥92;球感≥100;進化≥96;スピン≥98;精神≥96
fuji_skill_12,fuji,狐火球,神域,5,102,球感≥100;スピン≥98;戦略≥98;スライス≥98
toyama_skill_1,toyama,超ウルトラグレートデリシャス大車輪山嵐,超級,4,80,パワー≥99;スピード≥91;ストローク≥87;球感≥97;スタミナ≥85
toyama_skill_2,toyama,超メガトンワンダーデラックス山噴火サーブ,奥義,5,92,パワー≥100;サーブ≥90;ストローク≥100;球感≥100;精神≥98
toyama_skill_3,toyama,天衣無縫の極み,神域,5,135,進化≥98;精神≥96;球感≥98;パワー≥100;スピード≥98
yanagi_skill_1,yanagi,データテニス,上級,3,45,戦略≥77;進化≥71;精神≥63;球感≥65
yanagi_skill_2,yanagi,かまいたち,上級,4,62,スライス≥79;スピン≥85;戦略≥93;球感≥85
yanagi_skill_3,yanagi,空蝉,超級,4,68,敏捷≥67;戦略≥95;スライス≥81;球感≥87;安定≥81
kirihara_skill_1,kirihara,ナックルサーブ,上級,3,44,サーブ≥61;パワー≥75;スピン≥49;球感≥65
kirihara_skill_2,kirihara,スピードプレイン,上級,3,48,スピード≥69;パワー≥75;ストローク≥67;球感≥65
kirihara_skill_3,kirihara,無我の境地,超級,4,74,進化≥95;精神≥79;球感≥87;スタミナ≥77
kirihara_skill_4,kirihara,悪魔化,奥義,4,88,パワー≥100;スピード≥92;精神≥80;進化≥96;ストローク≥92
kirihara_skill_5,kirihara,天使化,奥義,5,95,精神≥98;進化≥100;安定≥86;戦略≥76;球感≥100
kirihara_skill_6,kirihara,ショートスネイク,上級,3,40,ストローク≥67;スピン≥49;敏捷≥65;球感≥65
kirihara_skill_7,kirihara,集中爆発,超級,5,82,精神≥97;パワー≥100;進化≥100;スピード≥100
yuushi_skill_1,yuushi,ドロップショット,中級,2,32,スライス≥35;球感≥37;スピン≥37;戦略≥39
yuushi_skill_2,yuushi,羆落とし,上級,4,58,球感≥89;敏捷≥73;戦略≥91;ストローク≥79
yuushi_skill_3,yuushi,心を閉ざす,上級,4,64,精神≥83;戦略≥91;安定≥79;球感≥89
yuushi_skill_4,yuushi,D・F・D・R,超級,5,82,戦略≥100;球感≥100;スライス≥100;スピン≥100;精神≥97
jiroh_skill_1,jiroh,マジックボレー,上級,3,50,ボレー≥79;敏捷≥71;球感≥75;スピン≥63
tezuka_skill_1,tezuka,ドロップショット,中級,2,32,スライス≥33;球感≥35;スピン≥41;安定≥39
tezuka_skill_2,tezuka,零式ドロップショット,超級,4,70,スライス≥91;スピン≥97;球感≥89;安定≥91;精神≥95
tezuka_skill_3,tezuka,無我の境地,超級,4,75,進化≥87;精神≥95;球感≥89;スタミナ≥77
tezuka_skill_4,tezuka,百錬自得の極み,奥義,5,90,精神≥100;進化≥100;ストローク≥100;サーブ≥100;安定≥100
tezuka_skill_5,tezuka,才気煥発の極み,奥義,5,92,戦略≥100;進化≥100;精神≥100;球感≥100
tezuka_skill_6,tezuka,天衣無縫の極み,神域,5,140,精神≥100;進化≥98;球感≥97;スピード≥93;ストローク≥97
tezuka_skill_7,tezuka,手塚ゾーン,超級,4,75,スピン≥97;安定≥91;戦略≥89;球感≥89
tezuka_skill_8,tezuka,手塚ファントム,奥義,5,95,スピン≥100;安定≥100;戦略≥100;精神≥100;球感≥100
tezuka_skill_9,tezuka,零式サーブ,奥義,5,95,サーブ≥100;スピン≥100;スライス≥100;安定≥100;精神≥100
tezuka_skill_10,tezuka,至高のゾーン,神域,5,130,精神≥100;進化≥98;スピン≥100;戦略≥97;安定≥98
sanada_skill_1,sanada,無我の境地,超級,5,82,進化≥99;精神≥100;球感≥97;スタミナ≥97
sanada_skill_2,sanada,風林火陰山雷,神域,5,105,スピード≥100;パワー≥100;安定≥100;戦略≥100;ストローク≥100;スピン≥100
sanada_skill_3,sanada,黒色のオーラ,奥義,5,88,精神≥100;パワー≥100;安定≥100;進化≥100
sanada_skill_4,sanada,黒龍一重の斬,奥義,5,90,パワー≥100;ストローク≥100;スピン≥100;スピード≥100;精神≥100
sanada_skill_5,sanada,黒龍二重の斬,神域,6,108,パワー≥100;ストローク≥100;スピン≥100;精神≥100;進化≥100
sanada_skill_6,sanada,嵐森炎峰,神域,5,115,戦略≥95;ストローク≥97;スピン≥98;精神≥98;安定≥100
niou_skill_1,niou,トリックプレイ,中級,2,35,戦略≥37;球感≥35;協調≥29;精神≥31
niou_skill_2,niou,イリュージョン,奥義,5,95,進化≥100;戦略≥100;球感≥100;協調≥100;スピン≥100
niou_skill_3,niou,問鯛,超級,4,65,戦略≥91;球感≥91;スピン≥91;スライス≥87
niou_skill_4,niou,能力共鳴,神域,5,110,進化≥100;協調≥96;精神≥94;球感≥98
niou_skill_5,niou,メテオドライブ,奥義,5,88,ストローク≥96;スピード≥86;スピン≥100;球感≥100;進化≥100
